date,temperature,humidity,luminosity
2023-12-21 15:04:00.451,18.9,29.2,215
2023-12-21 15:03:55.411,18.9,29.1,215
2023-12-21 15:03:50.371,18.9,28.9,150
2023-12-21 15:03:45.330,18.9,29.1,188
2023-12-21 15:03:40.290,18.9,29.3,216
2023-12-21 15:03:35.250,18.9,29.6,216
2023-12-21 15:03:30.210,18.9,29.6,215
2023-12-21 15:03:25.169,18.9,29.5,213
2023-12-21 15:03:20.130,18.9,29.5,213
2023-12-21 15:03:15.090,18.9,29.5,214
2023-12-21 15:03:10.049,18.9,29.3,212
2023-12-21 15:03:05.009,18.9,29.3,213
2023-12-21 15:02:59.969,18.9,29.2,214
2023-12-21 15:02:54.928,18.9,29.3,213
2023-12-21 15:02:49.888,18.9,29.2,213
2023-12-21 15:02:44.848,18.9,29.3,213
2023-12-21 15:02:39.807,18.9,29.1,213
2023-12-21 15:02:34.767,18.9,29.0,214
2023-12-21 15:02:29.727,18.9,29.0,215
2023-12-21 15:02:24.686,19.0,28.9,216
2023-12-21 15:02:19.644,19.0,29.0,215
2023-12-21 15:02:14.604,19.0,28.8,215
2023-12-21 15:02:09.564,19.0,28.6,213
2023-12-21 15:02:04.524,19.0,28.6,217
2023-12-21 15:01:59.484,18.9,28.8,217
2023-12-21 15:01:54.443,19.0,28.9,201
2023-12-21 15:01:49.402,18.9,29.0,206
2023-12-21 15:01:44.361,18.9,29.2,207
2023-12-21 15:01:39.320,18.9,29.2,207
2023-12-21 15:01:34.280,18.9,29.3,206
2023-12-21 15:01:29.240,18.9,29.3,197
2023-12-21 15:01:24.200,18.9,29.2,196
2023-12-21 15:01:19.160,18.9,29.4,224
2023-12-21 15:01:14.120,18.9,29.3,224
2023-12-21 15:01:09.079,18.9,29.2,225
2023-12-21 15:01:04.038,19.0,29.1,225
2023-12-21 15:00:58.997,19.0,29.0,226
2023-12-21 15:00:53.957,19.0,29.1,228
2023-12-21 15:00:48.917,19.0,29.0,229
2023-12-21 15:00:43.876,19.0,28.7,229
2023-12-21 15:00:38.836,19.0,29.0,228
2023-12-21 15:00:33.796,19.0,29.1,229
2023-12-21 15:00:28.756,19.0,29.1,222
2023-12-21 15:00:23.717,19.0,29.0,223
2023-12-21 15:00:18.676,19.0,28.7,224
